Project Name,Subtype,Current Status,Capacity MW,Year of Completion,Country list of Sponsor/Developer,Sponsor/Developer Company,Country list of Lender/Financier,Lender/Financier Company,Country list of Construction/EPC,Construction Company/EPC Participant,Country,Province/State,District,,
Gushui,Hydro,Planned,2600,,China,‎Huaneng Lancang Hydropower Co Ltd,China,,China,China Huaneng Group; PowerChina,China,Yunnan,Deqen Tibetan,,
Gussing Biomass Plant,Biomass,Operational,1,2018,Austria; Thailand,Gussing Renewable Energy Thailand; Siam Cement Group,,,,,Thailand,Nakhon Sawan,Nong Bua,,
Guxue,Hydro,Planned,1700,,China,‎Huaneng Lancang Hydropower Co Ltd,China,,China,China Huaneng Group; PowerChina,China,Xizang,Chamdo,,
Ha Song Pha 1,Hydro,Operational,5.4,2013,Vietnam,Ha Song Hydropower JSC,,,, ,Vietnam,Ninh Thuan,Ninh Son,,
Ha Song Pha 2,Hydro,Operational,5.1,2015,Vietnam,Ha Song Hydropower JSC,,,, ,Vietnam,Ninh Thuan,Ninh Son,,
Hacom Solar,Solar,Operational,50,2019,Vietnam,Hacom Energy Co Ltd.,,,Vietnam; Japan,Hawee IDC, Sharp Solar Solution,Vietnam,Ninh Thuan,,
Hai Duong Nha may Nhiet dien Hai Duong BOT,Coal,Operational,1200,2020,China; Malaysia,China Power Engineering Consulting Group 70 PCT; China Power Engineering Consulting Group International Engineering Co, Ltd.; JAKS,,,China,China Power Engineering Consulting Group CPECC,Vietnam,Hai Duong,,
Hai Ha 1-4 Nhiet dien Đong phat Hai Ha 1-4,Coal,Planned,2100,2030,Vietnam,Cong ty TNHH Khu cong nghiep Texhong Viet Nam,,,, ,Vietnam,Quang Ninh,Hai Ha,,
Hai Phong 1 Nha may Nhiet dien Hai Phong,Coal,Operational,600,2011,Vietnam,Vietnam Electricity EVN, Tap doan Đien luc Viet Nam Genco No 2,Japan; China,Japan Bank for International Cooperation Japan; China Exim Bank China $330 million;,China; Japan,Dongfang Electric China; Marubeni Japan,Vietnam,Hai Phong,,
Hai Phong 2 Nha may Nhiet dien Hai Phong,Coal,Operational,600,2013,Vietnam,Vietnam Electricity EVN, Tap doan Đien luc Viet Nam Genco No 2,Japan; China,Japan Bank for International Cooperation Japan; China Exim Bank China $330 million;,China; Japan,Dongfang Electric China; Marubeni Japan,Vietnam,Hai Phong,,
Hai Phong 3 Units 3-4 Nha may Nhiet dien Hai Phong, to may 3-4,Coal,Cancelled,600,2028,Vietnam,Vinacomin Vietnam Tap doan cong nghiep Than-Khoang san Viet Nam,,,, ,Vietnam,Hai Phong,,
Hai Phong 3, Units 1-2 Nha may Nhiet dien Hai Phong, to may 1-2,Coal,Planned,600,2028,Vietnam,Vinacomin Vietnam Tap doan cong nghiep Than-Khoang san Viet Nam,,,, ,Vietnam,,
Hakha,Wind,Planned,72,,China,China Three Gorges China,,,, ,Myanmar,Chin,Palam,,
Hanbaram nha may Đien gio Hanbaram,Wind,Planned,117,2019,Singapore,Cong ty Co phan Đien gio Hanbaram,,,, ,Vietnam,Ninh Thuan,Phan Rang-Thap Cham,,
Hang Dong A1,Hydro,Operational,8.4,2012,,Xuan Thien Trading Construction Investment and Development Co,,,, ,Vietnam,Son La,Bac Yen,,
Hat Liu,Hydro,Operational,5,2014,,Yen Bai Electricity Investment and Developmet JSC.FDI,,,, ,Vietnam,Yen Bai,Tram Tau,,
Hat Yai Solar Power Plant,Solar,Operational,1,,Thailand,Thai Solar Energy Public Company Limited TSE Thailand,,,, ,Thailand,Songkhla,Hat Yai,,
HCG & HTG Đien mat troi HCG va HTG,Solar,Operational,100,2019,Vietnam,Cong ty TNHH Quan Ly Va Đau Tu Tin Thac Hoang Thai Gia Vietnam, cong ty co phan dien mat troi HCG Tay Ninh Vietnam,Singapore; Vietnam,Reonyuan Power Singapore; Singapore; cong ty co phan Hai Đang Vietnam,Vietnam,Cong ty Vinasolar Vietnam,Vietnam,Tay Ninh,,
He Kou,Hydro,Planned,138,,China,China Southern Power Grid Yunnan International Co China,,,, ,Myanmar,Shan,Mongphat,,
Hemaraj,Gas,Under Construction,2500,,Thailand; Japan,GulfSRC owned byGEDThai,Mitsui CoJapan,Thailand; ADB; Japan,JBIC; ADB; Thai EX-IM,, ,Thailand,Ubon Ratchathani,,
Hengtong Optic Solar Farm,Solar,Planned,200,,China; Cambodia,Hengtong Optic-Electric China, Inner Renewable Energy Cambodia Cambodia,,,China,Hengtong group China,Cambodia,Svay Rieng,,
Hiep Phuoc,Oil,Operational,375,,,,,,, ,Vietnam,Ho Chi Minh,Nha Be,,
Hkankawn,Hydro,Planned,140,,China; Myanmar,Yunnan Energy Investment Group China, International Group of Entrepreneurs Myanmar,,,China,Yunnan Energy Investment Group China, International Group of Entrepreneurs Myanmar,Myanmar,,
Hlawga,Gas,Operational,154.2,1999,Myanmar,MEPE Myanmar,,,, ,Myanmar,Yangon,Yangon-N,,
Hlawga Myanmar Central Power,Gas,Operational,50,2013,Myanmar,Myanmar Central Power Co, Ltd Myanmar,,,, ,Myanmar,Yangon,,
Hmawbi,Gas,Planned,140,,,,,,, ,Myanmar,Yangon,Yangon-E,,
Ho Bon,Hydro,Operational,18,2012,,Forth Lake Hydropower JSC,,,, ,Vietnam,Yen Bai,Mu Cang Chai,,
Ho Ho,Hydro,Operational,14,2010,,Nothern 1 Electricity Investment and Development JSC,,,, ,Vietnam,Quang Binh,Tuyen Hoa,,
Ho Nui Coc,Hydro,Operational,1.89,2009,Vietnam,Nui Coc Lake Hydropower JSC.,,,, ,Vietnam,Thai Nguyen,Thai Nguyen,,
Hoa An Solar Park,Solar,Under Construction,40,2020,China,JinkoSolar Holding China,,,China,Jinko Solar China,Vietnam,Hau Giang,Phung Hiep,,
Hoa Binh Nha may Thuy dien Hoa Binh,Hydro,Operational,1920,1994,Vietnam,EVN,,,Vietnam,Song Da Construction,Vietnam,Hoa Binh,Hoa Binh,,
Hoa Binh 5 Wind Power Project,Wind,Planned,80,2021,Vietnam,Bac Lieu Hacom Energy JSC,Vietnam,Bac Lieu Hacom Energy JSC,,,Vietnam,Bac Lieu,Hoa Binh,,
Hoa Dau Long Son Nhiet dien Hoa dau Long Son,Coal,Under Construction,225,2023,Vietnam,Hoa Dau Long Son Limited Company Vietnam Cong ty TNHH Hoa dau Long Son LSP,Vietnam,Vina SCG Chemicals Company Limited; PVN,, ,Vietnam,Ba Ria - Vung Tau,Vung Tau,,
Hoa Hoi Nha may dien mat troi Hoa Hoi,Solar,Operational,214,2019,Vietnam; Thailand,Cong ty CP TTP Phu Yen -  a JV between B Grimm Power Public CL Thailand and CTCP TĐ Truong Thanh Viet Nam,,,, ,Vietnam,Phu Yen,Phu Hoa,,
Hoa Phu,Hydro,Operational,29,2014,Vietnam,Tam Long Hydro Power JSC.,,,, ,Vietnam,Đak Lak,Buon Ma Thuot,,
Hoa Thang 3.2 Đien mat troi Hoa Thang,Solar,Planned,50,2020,Vietnam,Cong ty TNHH Solar Binh Thuan Vietnam CONG TY TNHH ĐIEN MAT TROI VNECO - HOA THANG Vietnam Cong Ty Cp Hoa Thang Jsc Vietnam,,,, ,Vietnam,Khanh Hoa,Ninh Hoa,,
Hoi Xuan,Hydro,Operational,102,2019,Vietnam,Dong Mekong Vietnam, VNECO Hoi Xuan Investment and Electricity Construction Joint Stock Company VNECO Hoi Xuan Vietnam,USA; Japan,Goldman Sachs $115 million invstment USA; Tokyo-Mitsubishi Japan; MIGA guarantees,China,Chongqing Minmetals and Machinery  CMMC China,Vietnam,Thanh Hoa,,
Hong Phong 1 & 2 Nha may dien mat troi Hong Phong,Solar,Operational,320,2019,Vietnam,Cong cong ty dien mat troi GP SOLAR,,,, ,Vietnam,Binh Thuan,Bac Binh,,
Hong Phong 4 Nha may dien mat troi Hong Phong 4,Solar,Under Construction,48,2020,,,,,, ,Vietnam,Binh Thuan,Bac Binh,,
Hongsa Power Plant 1-3,Coal,Operational,1878,2015,Thailand; Laos,Banpu 40 PCT, Ratchaburi 40 PCT, LHSE 20 PCT,,,, ,Laos,,
Houay Avien,Hydro,Planned,3,,South Korea,EDL Laos, Korea Corporation Korea,,,, ,Laos,Xekong,,
Houay Champi Oudomsouk,Hydro,Planned,5,,Laos,Daoheuang Laos,,,, ,Laos,Champasak,Pathoomphone,,
Houay Dak kan,Hydro,Planned,5,,,,,,, ,Laos,Saravan,Saravane,,
Houay Gnoy-Koy,Hydro,Under Construction,11.2,,,,,,, ,Laos,Champasak,Pathoomphone,,
Houay Het,Hydro,Planned,5,,Laos,Chleun Construction Co Laos,,,, ,Laos,Xekong,Lamarm,,
Houay Ho,Hydro,Operational,152,1999,Thailand; Laos,Glow Energy 67.25 PCT Thailand, Electricite du Laos 20 PCT Laos, and Hemaraj Land & Development 12.75 PCT Thailand,,,South Korea,Daewoo South Korea,Laos,,
Houay Palai Downstream,Hydro,Under Construction,3,,,,,,, ,Laos,Champasak,Pathoomphone,,
Houay Phouang,Hydro,Planned,5,,,,,,Laos,Hongkham Construction Co Laos,Laos,Xekong,Lamarm,,
Houay Por,Hydro,Planned,15,,Laos,Houay Por Power Co Ltd. Laos,,,, ,Laos,Saravan,Saravane,,
Houay Samong,Hydro,Operational,1.7,,,,,,, ,Laos,Xekong,Lamarm,,
Hpa-an,Coal,Cancelled,1280,,Thailand; Japan; Myanmar,Toyo-Thai Italian-Thai Development Thailand, Toyo Engineering Japan,,,, ,Myanmar,Kayin,,
Hpizaw Pisa,Hydro,Postponed,2400,,China,State Power Investment Corporation China,,,China,China Power Investment Corporation CPI China,Myanmar,Kachin,Putao,,
Hsohsa,Wind,Planned,220,,Thailand,Gunkul Public Engineering Co Thailand,,,, ,Myanmar,Shan,Taunggye,,
Htamathi Tamanthi,Hydro,Cancelled,1200,,Myanmar,Ministry of Electricity & Energy,,,India,National Hydroelectric Power Corp,Myanmar,Sagaing,Hkamti,,
Htantabin,Coal,Cancelled,270,,China; Myanmar,Huaneng Lancangjiang Hydroppower Co China, Htoo Trading Co Myanmar,,,, ,Myanmar,Yangon,,
Htoneshinchaung,Hydro,Planned,340,,China,Yunnan Investment Group,,,Myanmar,International Group of Entrepreneur IGE,Myanmar,Kachin,Putao,,
Hua Na,Hydro,Operational,180,2013,Vietnam,Hua Na HPP JSC PVN,,,Vietnam,Viet Nam Machinery Installation Corp. Lilama,Vietnam,Nghe An,Que Phong,,
Huai Kui Mang Dam,Hydro,Operational,0.1,1984,Thailand,EGAT Thailand,,,, ,Thailand,Prachuap Khiri Khan,Muang Prachuap Khiri Khan,,
Huai Kum Dam,Hydro,Operational,1.06,1978,Thailand,EGAT Thailand,,,, ,Thailand,Chaiyaphum,Kaset Sombon,,
Huangdeng,Hydro,Operational,1900,2019,China,‎Huaneng Lancang Hydropower Co Ltd,China,,China,China Huaneng Group; PowerChina,China,Yunnan,Nujiang Lisu,,
Huay Bong Wind Farm,Wind,Operational,207,2012,Thailand,Wind Energy Holding Co,Thailand,Kasikorn Bank, Siam Commercial Bank, TISCO Bank, ICBC,,,,
Huay Champi Patung,Hydro,Planned,5,,Laos,Electricity Management Company Laos,,,, ,Laos,Champasak,Paksong,,
Huay Dak Tam,Hydro,Planned,11,,Laos,BSS Company,,,, ,Laos,Xekong,Lamarm,,
Huay Jaliu 1,Hydro,Planned,10,,Thailand,Charoen Construction Company,,,, ,Laos,Xekong,Lamarm,,
Huay Jaliu 2,Hydro,Planned,5,,Thailand,Charoen Construction Company,,,, ,Laos,Xekong,Lamarm,,
Huay Kachao Solar Power Plant,Solar,Operational,5,,Thailand,Thai Solar Energy 1 TSE1 Thailand,,,, ,Thailand,Kanchanaburi,Huai Kra Chao,,
Huay Kalabai 1,Hydro,Planned,4.5,,Thailand,Juntaoaom Construction and Transport Thailand,,,, ,Laos,Xekong,Lamarm,,
Huay Kalabai 2,Hydro,Planned,12,,Thailand,Juntaoaom Construction and Transport Thailand,,,, ,Laos,Xekong,Lamarm,,
Huay Kalabai 3,Hydro,Planned,14,,Thailand,Juntaoaom Construction and Transport Thailand,,,, ,Laos,Xekong,Lamarm,,
Huay Mi,Hydro,Planned,12,,Thailand,Charoen Tamsang Company,,,, ,Laos,Xekong,Lamarm,,
Huay Ngae,Hydro,Planned,5,,Laos,BSS Company,,,, ,Laos,Xekong,Lamarm,,
Huay Pad Torn Lum,Hydro,Planned,5,,Laos,Patana Salumroblarm Lao Laos,,,, ,Laos,Xekong,Lamarm,,
Huay Pahae,Hydro,Planned,13,,Thailand,Charoen Construction Company,,,, ,Laos,Xekong,Lamarm,,
Huay Palai,Hydro,Planned,26,,,,,,, ,Laos,Champasak,Bachiangchaleunsook,,
Huay Palod 1,Hydro,Planned,5,,Thailand,Samluang-Serdsaid Company Thailand,,,, ,Laos,Attapu,Xaysetha,,
Huay Palod 2,Hydro,Planned,12,,Thailand,Samluang-Serdsaid Company Thailand,,,, ,Laos,Attapu,Xaysetha,,
Huay Payu,Hydro,Planned,5,,Laos,Vientiane Automation Laos,,,, ,Laos,Xekong,Lamarm,,
Huay Pok,Hydro,Planned,12,,Laos,Hydro Lao Company Laos,,,, ,Laos,Attapu,Xaysetha,,
Huay Pong,Hydro,Planned,13,,Thailand,Hingtam Construction and Transport Ltd Thailand,,,, ,Laos,Xekong,Lamarm,,
Huay Pong Torn Lum,Hydro,Planned,15,,Laos,Energy Engineering Company Laos,,,, ,Laos,Xekong,Lamarm,,
Huay Rad,Hydro,Planned,5,,Thailand,Charoen Tamsang Company,,,, ,Laos,Xekong,Lamarm,,
Huay Tai,Hydro,Planned,5,,Thailand,Punyaporn Development Company Thailand,,,, ,Laos,Xekong,Lamarm,,
Huay Tapae,Hydro,Planned,5,,Thailand,Jaitampang Concrete Company Thailand,,,, ,Laos,Champasak,Pathoomphone,,
Huay Tapae 2,Hydro,Planned,5,,Laos,Lao Industrial Electricity Company Ltd Laos,,,, ,Laos,Saravan,Lao Ngarm,,
Huay Tor Klot,Hydro,Planned,4,,Thailand,Pasanlok Company Thailand,,,, ,Laos,Attapu,Xaysetha,,
Huay Xaikong,Hydro,Planned,5,,Thailand,Charoensab Company,,,, ,Laos,Bolikhamxai,Viengthong,,
Huay Yerng,Hydro,Planned,6,,Thailand,Tumtam Company Thailand,,,, ,Laos,Xekong,Lamarm,,
Huaybangsong Tornlumpat 21,Hydro,Planned,21,,Thailand; USA,MCM Construction USA, Simlapatarn Company Ltd Thailand,,,, ,Laos,Champasak,,
Huaychampaudomsuk,Hydro,Planned,5,,Laos,Dao Rueng Construction and Transport Infrastructure Company Laos, STL Sakin Company Laos,,,, ,Laos,Champasak,,
Huaychampi,Hydro,Planned,5,,Thailand,Pasakorn Construction and Transport Company Thailand,,,, ,Laos,Champasak,Paksong,,
Huaychampi-Hak 35,Hydro,Under Construction,5,2017,Thailand,Pasak Construction Thailand,,,, ,Laos,Champasak,Paksong,,
Huaychrod,Hydro,Planned,5,,Thailand,Tamsom Electricity Dam Phuprong Company Ltd Thailand,,,, ,Laos,Champasak,Paksong,,
Huayhavieng,Hydro,Planned,5,,Thailand,Chantasem Construcion, Transport and Hydropower Company Company,,,, ,Laos,Saravan,,
Huaylai,Hydro,Planned,2,,USA,P&P Construction and Transport Company Ltd USA,,,, ,Laos,Saravan,Ta Oi,,
Huaynamsai 1 Tadtalie,Hydro,Planned,13,,Thailand,PCC Construction and Electricity Company Ltd Thailand,,,, ,Laos,Saravan,Ta Oi,,
Huaynamsai 2 Tangta,Hydro,Planned,11,,South Korea,SDS Company Ltd South Korea,,,, ,Laos,Saravan,Saravane,,
Huaypakai,Hydro,Planned,23,,Laos,Kuangtung Industrial Electrical Lao Laos,,,, ,Laos,Champasak,Pathoomphone,,
Huaysalai,Hydro,Planned,3,,Thailand,P&P Construction and Transport Company Ltd Thailand,,,, ,Laos,Saravan,Ta Oi,,
Huaysatung,Hydro,Planned,6.1,,Thailand,P&P Construction and Transport Company Ltd Thailand,,,, ,Laos,Saravan,Ta Oi,,
Huaytang-Lapchantayiksua,Hydro,Planned,12.5,,Thailand,Pasakorn Construction Thailand,,,, ,Laos,Champasak,Paksong,,
Huaytapae 1,Hydro,Under Construction,5,2018,Laos,Vientiane Automation Engineering Ltd Laos,,,, ,Laos,Saravan,Lao Ngarm,,
Huayyoy-Huaytid,Hydro,Under Construction,10,2017,Thailand,Huayyoytadtid Thailand,,,, ,Laos,Champasak,Paksong,,
Huoay Lamphan Gnai,Hydro,Operational,88,2015,Laos,EDL Laos,,,China,Gezhouba China EPC,Laos,Xekong,Thateng,,
Huoay Lamphan Gnai downstream,Hydro,Operational,15,2017,Laos,EDL Laos,,,China,China Gezhouba Group Co China,Laos,Xekong,Thateng,,
Huoi Quang Thuy dien Huoi Quang,Hydro,Operational,520,2015,Vietnam,Vietnam Electricity EVN,Vietnam; France,EVN, AFD,Vietnam,Infrastructure Development and Construction CorporationLICOGI Vietnam,Vietnam,Lai Chau,,
Huong Dien,Hydro,Operational,81,2010,Vietnam,Huong Dien HPP JSC Vietnam,,,, ,Vietnam,Thua Thien Hue,Phong Đien,,
Huong Linh 1 Đien gio Huong Linh 1,Wind,Operational,30,2017,,,,,, ,Vietnam,Quang Tri,Huong Hoa,,
Huong Linh 2 Đien gio Huong Linh 2,Wind,Operational,30,2017,Vietnam; Denmark,Tan Hoan Cau Joint Stock Corporation Vietnam, Vestas Wind Systems Denmark,,,, ,Vietnam,Quang Tri,,
Huong Linh 3 Đien gio Huong Linh 3,Wind,Planned,30,2020,Vietnam,Cong ty Co phan dien gio Huong Linh 3 SPV with equity by Cong ty Trach nhiem huu han Đien gio Huong Phung,,,, ,Vietnam,Quang Tri,Huong Hoa,,
Huong Phung 1 Đien gio Huong Phung 1,Wind,Under Construction,30,2019,Vietnam,EVNGENCO2 Vietnam,,,, ,Vietnam,Quang Tri,Huong Hoa,,
Huong Phung 2 Đien gio Huong Phung 2,Wind,Planned,20,2021,Vietnam,EVNGENCO2 Vietnam,,,, ,Vietnam,Quang Tri,Huong Hoa,,
Huong Phung 3 Đien gio Huong Phung 3,Wind,Planned,30,2021,Vietnam,EVNGENCO2 Vietnam,,,, ,Vietnam,Quang Tri,Huong Hoa,,
Huong Son,Hydro,Operational,33,2012,Vietnam,Huong Son Hydropower JSC,,,, ,Vietnam,Ha Tinh,Huong Son,,
Huong Tan Đien gio Huong Tan,Wind,Unknown,48,,Vietnam,Cong ty CP Đau tu xay dung va thuong mai Phu Đien Vietnam,,,, ,Vietnam,Quang Tri,Huong Hoa,,
Hutgyi Hatgyi,Hydro,Planned,1360,,Thailand; China,EGAT, Synohydro International,China; Thailand,China and Thai banks,China,Power Construction Corp, China,Myanmar,,
Ham Thuan – Đa Mi Hydroelectric power stations,Hydro,Operational,300,2001,Vietnam,EVN, Da Nhim - Ham Thuan Da Mi Hydropower Comapny,Japan,JICA,Vietnam,Construction Corporation No 1 JSC,Vietnam,Binh Thuan,,
Ia Drang 2,Hydro,Operational,1.2,,Vietnam,Gia Lai Electricity JSC.,,,, ,Vietnam,Gia Lai,Chu Prong,,
Ia Grai 1,Hydro,Operational,10.8,2012,Vietnam,Quoc Cuong Gia Lai JSC,,,, ,Vietnam,Gia Lai,Ia Grai,,
Ia Grai 2,Hydro,Operational,7.5,2014,Vietnam,Quoc Cuong Gia Lai JSC,,,, ,Vietnam,Gia Lai,Ia Grai,,
Ia Grai 3,Hydro,Operational,7.5,2007,Vietnam,Song Da 4 JSC.,,,, ,Vietnam,Gia Lai,Ia Grai,,
Ia Lop Đien mat troi Ia Lop 1,Solar,Planned,50,2020,Vietnam,Cong ty TNHH Long Thanh IA Lop Vietnam,,,, ,Vietnam,Đak Lak,Ea Sup,,
Ia Pech 1,Wind,Planned,50,2021,Thailand; Vietnam,Gulf International Holding Pte, Dien Xanh Gia Lai Investment Energy JSC,,,,,Vietnam,Gia Lai,,
Ia Pech 2,Wind,Planned,50,2021,Thailand; Vietnam,Gulf International Holding Pte, Dien Xanh Gia Lai Investment Energy JSC,,,,,Vietnam,Gia Lai,,
IFEC Bo Phloy Solar Plants,Solar,Under Construction,10,,Thailand,IFEC Thailand,,,Thailand,IFEC Green Power Plus Ltd Thailand,Thailand,Kanchanaburi,Bo Phloi,,
Infra Capital Asia Wind Power,Wind,Planned,263,,Myanmar; Singapore,Infra Capital Myanmar-ReEx Myanmar, of Infra Capital Asia Development Pte Ltd. Singapore,,,, ,Myanmar,Magway,,
Ingapur,Wind,Planned,120,,China,China Three Gorges China,,,, ,Myanmar,Ayeyarwady,Hinthada,,
Inn Din / Ann Din,Coal,Planned,1280,,Thailand; Japan,Toyo-Thai Italian-Thai Development Thailand, Toyo Engineering Japan,,,, ,Myanmar,Mon,,
Isariyakul Biomass Power Plant,Biomass,Unknown,8.9,2010,Thailand,Isariyakul Biomass Power Co, Ltd.,Singapore,EPURON & GE/RETA,Thailand,ATT Consultants Co Ltd.,Thailand,Phayao,,
Jakkakhuei Power Plant,Biomass,Operational,5,2013,Vietnam,Hoang Anh Gia Lai Mitlao Sugar Factory Vietnam,Vietnam,Bank for Investment and Development of Vietnam Vietnam,, ,Thailand,Mukdahan,Dong Luang,,
Jang Pong dien mat troi Jang Pong,Solar,Operational,10,2019,Vietnam,Cao Nguyen Cong ty Co phan Đau tu nang luong Cao Nguyen,,,, ,Vietnam,Đak Lak,Buon Đon,,
Jinghong,Hydro,Operational,1750,2008,China,‎Huaneng Lancang Hydropower Co Ltd,China,,China,China Huaneng Group; PowerChina,China,Yunnan,Xishuangbanna Dai,,
Jiratpattana Biogas Energy Project,Waste,Unknown,2,,Thailand,Thai Biogas Energy Co Ltd.,,,United Kingdom,EcoSecurities Group plc.,Thailand,Kalasin,Muang Kalasin,,
JR One Wastewater Biogas to Eelectricity Project,Waste,Unknown,2,,Thailand,JR One Company Ltd.,,,United Kingdom,EDF Trading Ltd.,Thailand,Surat Thani,Prasaeng,,
Jufudu,Hydro,Operational,285,2008,China,Yunnan Datang International Lixianjiang Hydropower Development Company Ltd.; 大唐国际发电股份有限公司、北京国电安融能源投资有限公司和思茅市国有资产经营有限责任公司，股权比例分别为70 PCT、25 PCT和5 PCT,China,,China,China Datang Corporation, Gezhouba Group Electrical Construction Co,China,Yunnan,,
Junction City Rooftop Solar,Solar,Operational,0.117,2017,Myanmar,Shwe Taung Group Myanmar,,,Laos,Sunlabob Renewable Energy Co Laos,Myanmar,Yangon,Yangon-W,,
Kabaung,Hydro,Operational,30,2008,Japan,Kansai Electric Power Company Japan,,,, ,Myanmar,Bago,Taungoo,,
Kadwe,Wind,Planned,220,,Thailand,Gunkul Public Engineering Co Thailand,,,, ,Myanmar,Tanintharyi,Dawei,,
Kaeng Khoi 2,Gas,Operational,1468,2008,Thailand,EGCO Electricity Generating Public Company, Ltd.,,,, ,Thailand,Saraburi,,
Kaeng Krachan Dam,Hydro,Operational,19,,Thailand,EGAT Thailand,,,, ,Thailand,Phetchaburi,Kaeng Krachan,,
Kagong,Hydro,Planned,240,,China,‎Huaneng Lancang Hydropower Co Ltd,China,,China,China Huaneng Group; PowerChina,China,Xizang,Chamdo,,
Kalasin Wastewater Treatment to Energy Project,Waste,Unknown,,,Thailand,Kalasin Waste to Energy Co Ltd.,,,,Trading Emissions PLC,Thailand,Kalasin,Muang Kalasin,,
Kalaywa Kalewa,Coal,Planned,540,,China; Myanmar,China Guodian, Tun Thwin Mining,,,, ,Myanmar,Mandalay,,
Kaleum on Huai La-Nge,Hydro,Planned,60,,China,Hebei Construction and Investment Group China,,,China,Hebei Construction and Investment Group China,Laos,Xekong,Kaleum,,
Kamchay,Hydro,Operational,193.2,2011,China,Power Construction Corp,China,China EXIM Bank,China,Power Construction Corp,Cambodia,Kampot,Tuek Chhou,,
Kampong Chhnang SchneiTec,Solar,Operational,60,2020,Cambodia; China,SchneiTec Group,,,, ,Cambodia,Kampong Chhnang,Tuek Phos,,
Kampong Speu Solar Farm,Solar,Operational,80,2019,Cambodia; China,SchneiTec Group,,,China,JinkoSolar Holding Co, Ltd,Cambodia,Kampong Speu,,
Kampot Cement Waste Heat Power Generation,Waste,Operational,4.5,2007,Cambodia,Kampot Cement Company Co Ltd Cambodia,,,China,Hangzhou Boiler Group China,Cambodia,Kampot,Dang Tong,,
Kanbauk APU,Gas,Cancelled,6,2015,Thailand; Myanmar,United Power, Global Grand Service Co,,,United Kingdom,Aggreko Co, Ltd UK,Myanmar,,
Kanbauk Total,Gas,Planned,1230,,France; Germany,Total France, Siemens Germany,,,France; Germany,Total France, Siemens Germany,Myanmar,,
Kanchanaburi Military Solar,Solar,Planned,300,,Thailand,EGAT, Royal Thai Army,,,,,Thailand,Kanchanaburi,,
Kandal Solar Project,Solar,Planned,135,,China; Cambodia; USA,Inner Renewable Energy Co Cambodia, China National Technical Import & Export Corporation China; First Solar USA,USA; UAE,Gideon Group USA; National Bank of Ras Al-Khaimah UAE,Hong Kong, China,Singyes Green Energy Technologies Ltd.,Cambodia,,
Kangkrachan Dam Irrigation Microhydro,Hydro,Unknown,0.69,,Thailand,EGAT Thailand,,,, ,Thailand,Phetchaburi,Kaeng Krachan,,
Kanpetlet,Hydro,Planned,30,,Norway,Norway Power Company Limited Norway,,,, ,Myanmar,Chin,Mindat,,
Karnhin Huaphan Power Plant,Hydro,Planned,400,,China; Laos,China International Water&Electric China, EDL Laos,,,, ,Laos,Vientiane,,
Karokpi,Wind,Planned,510,,Thailand,Gunkul Public Engineering Co Thailand,,,, ,Myanmar,Mon,Mawlamyine,,
Kawkareik,Wind,Planned,580,,Thailand,Gunkul Public Engineering Co Thailand,,,, ,Myanmar,Kayin,Hpa-an,,
KCN Tra Noc 2 Nha may nhiet dien dot trau KCN Tra Noc,Biomass,Operational,5.7,2008,Vietnam,Đinh Hai Thermal Power JSC Cong ty Co phan Nhiet dien Đinh Hai,,,, ,Vietnam,Can Tho,Binh Thuy,,
KCP Biomass Power Stage 1 - CHP Sugar Nha may dien sinh khoi KCP,Biomass,Operational,30,2016,India,KCP Vietnam Industries Limited Cong ty TNHH Cong nghiep KCP,,,, ,Vietnam,Phu Yen,Son Hoa,,
KCP Biomass Power Stage 2 - CHP Sugar Nha may dien sinh khoi KCP,Biomass,Operational,30,2018,India,KCP Vietnam Industries Limited Cong ty TNHH Cong nghiep KCP,,,, ,Vietnam,Phu Yen,Son Hoa,,
Ke Go,Hydro,Operational,2.3,1988,,Ke Go Hydropower JSC,,,, ,Vietnam,Ha Tinh,Cam Xuyen,,
Keng Tawng,Hydro,Operational,54,2009,China,Yunnan Machinery & Equipment Import & Export Co YMECChina,,,, ,Myanmar,Shan,Loilen,,
Keng Tawng Upper,Hydro,Under Construction,51,2020,Myanmar,MOEP Myamar,,,, ,Myanmar,Shan,Loilen,,
Keng Yang Kyaingyam,Hydro,Planned,70,2025,China; Myanmar,China Southern Power Grid Yunnan International Co China,,,, ,Myanmar,Shan,Mongphat,,
Kengtung,Coal,Planned,600,,Thailand,Lumpoondum Co, Ltd Thailand,,,, ,Myanmar,Shan,,
Kengtung Keng Tong,Hydro,Planned,170,,China,China Southern Power Grid Yunnan International Co China,,,, ,Myanmar,Shan,Kengtung,,
Khai Long Offshore Wind Farm Nha may dien gio khu du lich Khai Long - Ca Mau giai doan 1,Wind,Operational,100,2020,Vietnam,Cong ty CP Super Wind Energy Cong Ly 1, changed from Cong ty Xay dung - Thuong mai - Du lich Cong Ly,,,, ,Vietnam,Ca Mau,,
Khan Rai - BSP Solar Power Plant,Solar,Operational,4.5,,Thailand,Bangkok Solar Power Company, Ltd.,,,, ,Thailand,Ubon Ratchathani,,
Khanom,Gas,Operational,748,1996,Thailand,EGCO Electricity Generating Public Company, Ltd.,,,, ,Thailand,Nakhon Si Thammarat,,
Khanom,Nuclear,Planned,,,Thailand,EGAT Thailand,,,, ,Thailand,Chaiyaphum,Chatturat,,
