Project Name,Subtype,Current Status,Capacity MW,Year of Completion,Country list of Sponsor/Developer,Sponsor/Developer Company,Country list of Lender/Financier,Lender/Financier Company,Country list of Construction/EPC,Construction Company/EPC Participant,Country,Province/State,District,,
B&T Wind Farm Trang trai dien gio B&T,Wind,Planned,352,,Philippines,The Ayala Group,,,, ,Vietnam,Quang Binh,Bo Trach,,
B.Grimm BIP,Gas,Operational,230,2016,Thailand,B.Grimm,,,, ,Thailand,Pathum Thani,Muang Pathum Thani,,
B.Grimm Power Laem Chabang 1&2,Gas,Operational,159,2009,Thailand,B.Grimm,,,, ,Thailand,Chon Buri,Si Racha,,
B.Grimm Power WHA 1 Limited Bowin Clean Energy,Gas,Operational,132,2017,Thailand,Bowin Clean Energy, Ltd., Hemaraj Energy, Ltd., B.Grimm Power,,,Finland; Japan,,
Ba Ria,Gas,Operational,389,,Vietnam,Vietnam Electricity EVN,,,, ,Vietnam,Ba Ria - Vung Tau,Ba Ria,,
Ba Thuoc 2,Hydro,Operational,80,2013,Vietnam,Hoang Anh Lai,,,, ,Vietnam,Thanh Hoa,Ba Thuoc,,
Baan-Kluai Solar Power Plant Phase 1 at Gunkul,Solar,Unknown,8.61,,Thailand; United Kingdom,Gunkul Powergen Co Ltd., Agrinergy Pte Ltd.,,,, ,Thailand,Phetchabun,,
Baanrai Biomass Power Plant,Biomass,Operational,9.9,2013,Thailand,Baanrai Electricity Generating Co, Ltd. subsidiary of Thai Roong Ruang Sugar Group,,,, ,Thailand,Uthai Thani,,
Bac Ai PumpedStorage Hydropower Project,Hydro,Under Construction,1200,2029,Vietnam,EVN,,,Vietnam,Power Engineering Consulting JSC 4, Construction JSC 47,Vietnam,Ninh Thuan,,
Bac Binh,Hydro,Operational,33,2009,Vietnam,Power Development JSC,,,, ,Vietnam,Binh Thuan,Bac Binh,,
Bac Ha,Hydro,Operational,90,,Vietnam,LICOGI,,,, ,Vietnam,Lao Cai,Bac Ha,,
Bac Lieu Cai Cung Nha may Nhiet dien Bac Lieu - Cai Cung,Coal,Cancelled,1200,2019,Vietnam; Japan,Nhiet dien Cai Cung -- a JV betwen 1Tap doan Đien luc Viet Nam - EVN, 2Tap doan Sojitz Kyushu,,,, ,Vietnam,Bac Lieu,,
Bac Lieu LNG Nha may nhiet dien khi LNG Bac Lieu - built in 3 stages,Gas,Planned,3200,2027,USA; Vietnam,Delta Offshore Energy, Vien Nang Luong Ministry of Commerce and Trade,,,, ,Vietnam,Bac Lieu,,
Bac Lieu Wind 1-2 Nha may Đien gio Bac Lieu giai doan 1 va 2,Wind,Operational,142,2018,Vietnam,Cong Ly Ltd Co Cong ty trach nhiem huu han Xay dung - Thuong mai va Du lich Cong Ly,,,, ,Vietnam,Soc Trang,Vinh Chau,,
Bac Lieu Wind 3 Nha may Đien gio Bac Lieu giai doan 3,Wind,Planned,133,2018,Vietnam,Cong Ly Ltd Co Cong ty trach nhiem huu han Xay dung - Thuong mai va Du lich Cong Ly,,,, ,Vietnam,Bac Lieu,Bac Lieu,,
Bac Me,Hydro,Operational,45,2018,Vietnam,Vietracimex,Japan,Sumitomo Mitsui Banking Corporation Japan; The Gunma Bank Ltd. Japan; The Chugoku Bank.; Ltd. Japan; and The Bank of Yokohama; Ltd.. Japan,, ,Vietnam,Ha Giang,Bac Me,,
Baluchaung Upper,Hydro,Under Construction,30.4,,Myanmar,Neo Energy Oasis Development Co, Ltd. Myanmar,,,Japan,Nippon Koei Co, Ltd  Project Participant Japan,Myanmar,,
Baluchaung-1,Hydro,Operational,28,1992,Myanmar,MEPE,Japan,Japanese assistance Japan,Japan,Nippon Koei co, Ltd,Myanmar,Kayah,,
Baluchaung-2,Hydro,Operational,168,1954,Myanmar,MEPE Myanmar,Japan,Japanese assistance Japan,, ,Myanmar,Kayah,Loikaw,,
Baluchaung-3,Hydro,Operational,52,2015,Myanmar,Future Energy Myanmar,Japan,Japanese assistance Japan,, ,Myanmar,Kayah,Loikaw,,
Bamnet Narong - BSE Solar Power Plant,Solar,Operational,16,,Thailand,Bangchak Solar Energy Company, Ltd.,,,, ,Thailand,Chaiyaphum,,
Bamnet Narong - BSP Solar Power Plant,Solar,Operational,22.5,,Thailand,Siam Solar Generation Company Limited,,,, ,Thailand,Chaiyaphum,Bamnet Narong,,
Bamnet Narong power station,Coal,Under Construction,56,2020,Thailand,ASEAN Potash Mining Company Thailand,,,, ,Thailand,Chaiyaphum,Bamnet Narong,,
